"X","Y","malpi_aster_w4u3_rit"
585546.960572,4437466.832115,737.000000
585574.236525,4437466.832115,737.000000
585601.512478,4437466.832115,734.000000
585628.788431,4437466.832115,730.000000
585656.064384,4437466.832115,726.000000
585683.340337,4437466.832115,721.000000
585710.616290,4437466.832115,718.000000
585737.892243,4437466.832115,716.000000
585765.168196,4437466.832115,713.000000
585792.444149,4437466.832115,700.000000
585819.720102,4437466.832115,698.000000
585846.996055,4437466.832115,695.000000
585874.272008,4437466.832115,694.000000
585901.547961,4437466.832115,694.000000
585928.823914,4437466.832115,693.000000
585956.099867,4437466.832115,688.000000
585983.375820,4437466.832115,690.000000
586010.651773,4437466.832115,688.000000
586037.927726,4437466.832115,685.000000
586065.203679,4437466.832115,682.000000
586092.479632,4437466.832115,682.000000
586119.755585,4437466.832115,682.000000
586147.031538,4437466.832115,689.000000
586174.307491,4437466.832115,693.000000
586201.583444,4437466.832115,694.000000
586228.859397,4437466.832115,693.000000
586256.135350,4437466.832115,690.000000
586283.411303,4437466.832115,692.000000
586310.687256,4437466.832115,688.000000
586337.963209,4437466.832115,680.000000
586365.239162,4437466.832115,680.000000
586392.515115,4437466.832115,679.000000
586419.791068,4437466.832115,679.000000
586447.067021,4437466.832115,682.000000
581019.152374,4437494.108068,863.000000
581046.428327,4437494.108068,866.000000
581073.704280,4437494.108068,869.000000
581100.980233,4437494.108068,873.000000
581128.256186,4437494.108068,878.000000
581155.532139,4437494.108068,884.000000
581182.808092,4437494.108068,891.000000
581210.084045,4437494.108068,900.000000
581237.359998,4437494.108068,903.000000
581264.635951,4437494.108068,907.000000
581291.911904,4437494.108068,913.000000
581319.187857,4437494.108068,914.000000
581346.463810,4437494.108068,912.000000
581373.739763,4437494.108068,908.000000
581401.015716,4437494.108068,900.000000
581428.291669,4437494.108068,896.000000
581455.567622,4437494.108068,887.000000
581482.843575,4437494.108068,882.000000
581510.119528,4437494.108068,876.000000
581537.395481,4437494.108068,872.000000
581564.671434,4437494.108068,866.000000
581591.947387,4437494.108068,863.000000
581619.223340,4437494.108068,861.000000
581646.499293,4437494.108068,862.000000
581673.775246,4437494.108068,860.000000
581701.051199,4437494.108068,860.000000
581728.327152,4437494.108068,857.000000
581755.603105,4437494.108068,857.000000
581782.879058,4437494.108068,854.000000
581810.155011,4437494.108068,842.000000
581837.430964,4437494.108068,840.000000
581864.706917,4437494.108068,841.000000
581891.982870,4437494.108068,842.000000
581919.258823,4437494.108068,839.000000
581946.534776,4437494.108068,832.000000
581973.810729,4437494.108068,830.000000
582001.086682,4437494.108068,833.000000
582028.362635,4437494.108068,833.000000
582055.638588,4437494.108068,827.000000
582082.914541,4437494.108068,820.000000
582110.190494,4437494.108068,811.000000
582137.466447,4437494.108068,805.000000
582164.742400,4437494.108068,797.000000
582192.018353,4437494.108068,797.000000
582219.294306,4437494.108068,799.000000
582246.570259,4437494.108068,801.000000
582273.846212,4437494.108068,801.000000
582301.122165,4437494.108068,802.000000
582328.398118,4437494.108068,801.000000
582355.674071,4437494.108068,792.000000
582382.950024,4437494.108068,791.000000
582410.225977,4437494.108068,788.000000
582437.501930,4437494.108068,789.000000
582464.777883,4437494.108068,791.000000
582492.053836,4437494.108068,790.000000
582519.329789,4437494.108068,787.000000
582546.605742,4437494.108068,777.000000
582573.881695,4437494.108068,770.000000
582601.157648,4437494.108068,760.000000
582628.433601,4437494.108068,750.000000
582655.709554,4437494.108068,743.000000
582682.985507,4437494.108068,741.000000
582710.261460,4437494.108068,745.000000
582737.537413,4437494.108068,745.000000
582764.813366,4437494.108068,742.000000
582792.089319,4437494.108068,739.000000
582819.365272,4437494.108068,739.000000
582846.641225,4437494.108068,742.000000
582873.917178,4437494.108068,748.000000
582901.193131,4437494.108068,752.000000
582928.469084,4437494.108068,754.000000
582955.745037,4437494.108068,753.000000
582983.020990,4437494.108068,753.000000
583010.296943,4437494.108068,752.000000
