x,y,z,dipdir,dipang
585274,4.44164e+06,1223.16,135,35
585274,4.44164e+06,1223.16,135,35
585285,4.44165e+06,1221,135,35
585285,4.44165e+06,1221,135,35
585301,4.44166e+06,1218.55,135,35
585325,4.44167e+06,1209.43,135,35
585301,4.44166e+06,1218.55,135,35
584874,4.44161e+06,1405.67,135,35
584892,4.44162e+06,1401.41,135,35
584892,4.44162e+06,1401.41,135,35
584904,4.44162e+06,1396.57,135,35
584904,4.44162e+06,1396.57,135,35
584920,4.44162e+06,1388.56,135,35
584920,4.44162e+06,1388.56,135,35
584936,4.44163e+06,1383.06,135,35
584936,4.44163e+06,1383.06,135,35
584947,4.44163e+06,1379.37,135,35
584947,4.44163e+06,1379.37,135,35
584968,4.44163e+06,1369.56,135,35
584968,4.44163e+06,1369.56,135,35
584974,4.44164e+06,1367.21,135,35
584996,4.44164e+06,1358.89,135,35
584974,4.44164e+06,1367.21,135,35
585077,4.44164e+06,1318.81,135,35
585081,4.44164e+06,1315.54,135,35
585081,4.44164e+06,1315.54,135,35
585083,4.44164e+06,1314.14,135,35
585083,4.44164e+06,1314.14,135,35
585106,4.44164e+06,1302.03,135,35
585106,4.44164e+06,1302.03,135,35
585111,4.44164e+06,1300.12,135,35
585111,4.44164e+06,1300.12,135,35
585134,4.44164e+06,1288.53,135,35
585134,4.44164e+06,1288.53,135,35
585138,4.44164e+06,1286.31,135,35
585138,4.44164e+06,1286.31,135,35
585162,4.44164e+06,1275.02,135,35
585162,4.44164e+06,1275.02,135,35
585165,4.44164e+06,1273.69,135,35
585187,4.44164e+06,1264.11,135,35
585165,4.44164e+06,1273.69,135,35
585196,4.44164e+06,1259.66,135,35
585216,4.44164e+06,1248.01,135,35
585216,4.44164e+06,1248.01,135,35
585220,4.44164e+06,1246.03,135,35
585220,4.44164e+06,1246.03,135,35
585241,4.44163e+06,1234.51,135,35
585241,4.44163e+06,1234.51,135,35
585247,4.44163e+06,1230.58,135,35
585266,4.44164e+06,1225.15,135,35
585247,4.44163e+06,1230.58,135,35
584689,4.44159e+06,1483.85,135,35
584701,4.44159e+06,1479.1,135,35
584701,4.44159e+06,1479.1,135,35
584704,4.44159e+06,1477.6,135,35
584704,4.44159e+06,1477.6,135,35
584709,4.44159e+06,1473.99,135,35
584813,4.44159e+06,1422.54,135,35
584838,4.44159e+06,1414.42,135,35
584838,4.44159e+06,1414.42,135,35
584855,4.4416e+06,1410.07,135,35
584855,4.4416e+06,1410.07,135,35
584865,4.44161e+06,1407.73,135,35
584865,4.44161e+06,1407.73,135,35
584874,4.44161e+06,1405.67,135,35
584220,4.44156e+06,1702.65,135,35
584238,4.44156e+06,1696.39,135,35
584238,4.44156e+06,1696.39,135,35
584244,4.44156e+06,1693.68,135,35
584244,4.44156e+06,1693.68,135,35
584265,4.44157e+06,1684.67,135,35
584265,4.44157e+06,1684.67,135,35
584272,4.44157e+06,1680.17,135,35
584272,4.44157e+06,1680.17,135,35
584292,4.44156e+06,1669.61,135,35
584292,4.44156e+06,1669.61,135,35
584300,4.44157e+06,1666.67,135,35
584300,4.44157e+06,1666.67,135,35
584320,4.44157e+06,1659.39,135,35
584320,4.44157e+06,1659.39,135,35
584328,4.44157e+06,1653.16,135,35
584328,4.44157e+06,1653.16,135,35
584340,4.44156e+06,1643.06,135,35
584360,4.44156e+06,1633.08,135,35
584374,4.44156e+06,1627.8,135,35
584374,4.44156e+06,1627.8,135,35
584378,4.44156e+06,1626.15,135,35
584378,4.44156e+06,1626.15,135,35
584393,4.44156e+06,1616.69,135,35
584410,4.44156e+06,1608.61,135,35
584429,4.44156e+06,1601.04,135,35
584429,4.44156e+06,1601.04,135,35
584433,4.44156e+06,1599.14,135,35
584433,4.44156e+06,1599.14,135,35
584456,4.44156e+06,1588.48,135,35
584456,4.44156e+06,1588.48,135,35
584462,4.44156e+06,1585.64,135,35
584462,4.44156e+06,1585.64,135,35
584483,4.44157e+06,1577.22,135,35
584483,4.44157e+06,1577.22,135,35
584493,4.44157e+06,1572.13,135,35
584493,4.44157e+06,1572.13,135,35
584510,4.44157e+06,1563.77,135,35
584510,4.44157e+06,1563.77,135,35
584521,4.44157e+06,1558.63,135,35
584521,4.44157e+06,1558.63,135,35
584538,4.44157e+06,1551.74,135,35
584538,4.44157e+06,1551.74,135,35
584552,4.44157e+06,1545.12,135,35
584552,4.44157e+06,1545.12,135,35
584565,4.44157e+06,1538.6,135,35
584565,4.44157e+06,1538.6,135,35
584579,4.44157e+06,1531.62,135,35
584579,4.44157e+06,1531.62,135,35
584592,4.44157e+06,1522.8,135,35
